OBJECTID,ENABLED,ASSETID,SERVICEID,PIPE_ID,CLASS,PIPE_SUBTYPE,UP_STRUCT,DN_STRUCT,PIPE_LABEL,REMARKS,ENG_DIST,BASIN,UP_INV,DN_INV,PIPE_LENG,SLOPE_PCT,PIPE_SIZE,PIPE_WIDTH,PIPE_MAT,PIPE_SHAPE,REHAB,STREET,BLOCK,LINER,C_SLOPE,C_UP_INV,C_DN_INV,C_PIPE_LEN,UP_STA_100,UP_STA_PLS,DN_STA_100,DN_STA_PLS,YEAR_INST,NO_LAT,GRV_FM,EASEMENT,PIPE_STATUS,COMMENTS,WYE_CON,MON_INST,PLAN1,PLAN2,PROF,WYEMAP,HR_VER,PCT_ENTRY,WYE_MAT,WYE_DIAM,WYE_LENG,WYE_UPDATE,EST_UPINV,EST_DNINV,EST_MATL,LINER_DATE,EST_YEAR,EST_YR_LEV,SLOPE2,V_CURVE,PCT_ENTRY2,CAPACITY,SYSTEM,TRTMNT_LOC,OWNER,CRTN_DT,LAST_UPDATE,USER_ID,VDATUM,UP_MH,DN_MH,SAN_PIPE_ID,LAYER,Shape_Length,TOOLTIP,NLA_URL,CLASS_DESC,ENG_DIST_DESC,REHAB_DESC,GRV_FM_DESC,HR_VER_DESC,SYSTEM_DESC,TRTMNT_LOC_DESC,OWNER_DESC,MATERIAL_DESCRIPTION,PIPE_SUBTYPE_DESC,PIPE_STATUS_DESC
2001,True,1779717,,4420113444201146A,Major Outfall or Interceptor,1,44201134,44201146,A,,Valley,E15,628.24,626,703.4,0.0032,48,0,RCP,Circular,No,RIVERSIDE DR,14200,,NO,N,N,N,7,3.4,0,0,1981,0,Gravity,No,F,E.V.R.S./ UNIT D,0,10,D-26541,,D-26541,969-C,Horizontal,No,,0,834,Y,N,N,N,,N,,0,No,,75.45278,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-08-22T00:00:00.000Z,RZGARCIA,,44201134,44201135,4420113444201135A,1,258.830414,OUTFALL PIPES BY SIZE \nPipe ID: 4420113444201146A,navigatela/reports/wastewater_pipes.cfm?PK=4420113444201146A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,East Valley Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2002,True,1779718,,4420114644201135A,Major Outfall or Interceptor,1,44201146,44201135,A,,Valley,E15,626,625.55,143.79,0.0032,48,0,RCP,Circular,No,RIVERSIDE DR,14200,L,NO,N,N,N,92,61.79,91,18,1981,0,Gravity,No,F,E.V.R.S./ UNIT C,0,12,D-26540,,D-26540,968-D,Horizontal,No,,0,834,Y,N,N,N,,N,,0,No,,75.45278,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-08-22T00:00:00.000Z,RZGARCIA,,44201134,44201135,4420113444201135A,1,52.910209,OUTFALL PIPES BY SIZE \nPipe ID: 4420114644201135A,navigatela/reports/wastewater_pipes.cfm?PK=4420114644201135A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,East Valley Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2003,True,1779745,,4430114244302165A,Major Outfall or Interceptor,1,44301142,44302165,A,,Valley,E01,588.37,581.18,836,0.0087,39,0,VCP,Circular,No,RIVERSIDE DR,,,NO,,,,116,49,108,13,1981,0,Gravity,No,F,E.V.R.S./ UNIT A,0,12,D-26538,,D-26538,1352-B,,No,,0,0,,,,,,,,0,No,,0,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44301142,44302165,4430114244302165A,1,307.617262,OUTFALL PIPES BY SIZE \nPipe ID: 4430114244302165A,navigatela/reports/wastewater_pipes.cfm?PK=4430114244302165A,Major Outfall or Interceptor,Valley,No,Gravity,,East Valley Relief Sewer,,,Vitrified Clay Pipe,Gravity,As Built
2004,True,1779747,,4420317244204174A,Major Outfall or Interceptor,1,44203172,44204174,A,,Valley,E15,610.03,609.32,353.91,0.002,54,0,RCP,Circular,No,RIVERSIDE DR,12600,,NO,N,N,N,72,94.95,69,41.04,1981,0,Gravity,No,F,E.V.R.S.(MULTIPLE SLOPES),0,03,D-26539,,D-26539,1026-B,,No,,0,663,Y,N,N,N,,N,,0,No,,70.72169,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44203172,44204167,4420317244204167A,1,130.524057,OUTFALL PIPES BY SIZE \nPipe ID: 4420317244204174A,navigatela/reports/wastewater_pipes.cfm?PK=4420317244204174A,Major Outfall or Interceptor,Valley,No,Gravity,,East Valley Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2005,True,1779748,,4420417444204167A,Major Outfall or Interceptor,1,44204174,44204167,A,,Valley,E15,609.32,609.01,322.99,0.0017,54,0,RCP,Circular,No,RIVERSIDE DR,12600,,NO,N,N,N,69,41.04,66,18.05,1981,0,Gravity,No,F,E.V.R.S.(MULTIPLE SLOPES),0,03,D-26539,,D-26539,1059-A,Horizontal,No,,0,663,Y,N,N,N,,N,,0,No,,70.72169,East Valley Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44203172,44204167,4420317244204167A,1,118.682876,OUTFALL PIPES BY SIZE \nPipe ID: 4420417444204167A,navigatela/reports/wastewater_pipes.cfm?PK=4420417444204167A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,East Valley Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2006,True,1779831,,4450600144506013A,Major Outfall or Interceptor,1,44506001,44506013,A,,Central,P21,437.16,435.7,460.02,0.0025,52,0,CON,Burns & McDonald,No,SAN FERNANDO RD,5000,,NO,F,F,F,162,99.02,158,39,1926,0,Gravity,Yes,F,NORTH OUTFALL SEWER,0,04,DL-928,,P-4485,7068-7,Horizontal,Yes,CON,8,-99,T,T,T,F,,F,,,No,,74.5,NCOSNOS,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44506001,44506013,4450600144506013A,1,169.110671,OUTFALL PIPES BY SIZE \nPipe ID: 4450600144506013A,navigatela/reports/wastewater_pipes.cfm?PK=4450600144506013A,Major Outfall or Interceptor,Central,No,Gravity,Horizontal,North Central Outfall Sewer / North Outfall Sewer,,,Concrete or Cement,Gravity,As Built
2007,True,1779834,,4450601344506004A,Major Outfall or Interceptor,1,44506013,44506004,A,,Central,P21,435.7,435.69,6.41,0.0025,52,0,CON,Burns & McDonald,No,SAN FERNANDO RD,5000,,NO,F,F,F,158,39,158,32.59,1926,0,Gravity,Yes,F,NORTH OUTFALL SEWER,0,04,DL-928,,P-4485,7068-7,,Yes,CON,8,-99,T,T,T,F,,F,,0,No,,74.5,NCOSNOS,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44506013,44506004,4450601344506004A,1,2.469909,OUTFALL PIPES BY SIZE \nPipe ID: 4450601344506004A,navigatela/reports/wastewater_pipes.cfm?PK=4450601344506004A,Major Outfall or Interceptor,Central,No,Gravity,,North Central Outfall Sewer / North Outfall Sewer,,,Concrete or Cement,Gravity,As Built
2008,True,1780980,,4420801744208099A,Major Outfall or Interceptor,1,44208017,44208099,A,,Valley,E15,595.21,594.21,241.92,0.0042,48,0,RCP,Circular,No,LAUREL CANYON BLVD R/W,4400,,NO,N,N,N,90,47.43,88,5.51,1959,0,Gravity,Yes,F,"V.O.R.S./ SEC ""B""",0,12,D-14182,,D-14182,165-165-2,Horizontal,No,RCP,48,696.200012,Y,N,N,N,,N,,0,No,,86.44202,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44208017,44208099,4420801744208099A,1,87.489327,OUTFALL PIPES BY SIZE \nPipe ID: 4420801744208099A,navigatela/reports/wastewater_pipes.cfm?PK=4420801744208099A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2009,True,1780979,,4420809944208032A,Major Outfall or Interceptor,1,44208099,44208032,A,,Valley,E15,593.92,592.78,454.3,0.0025,54,0,RCP,Circular,No,LAUREL CANYON BLVD R/W,4400,,NO,N,N,N,88,5.51,83,51.21,1959,0,Gravity,Yes,F,"V.O.R.S./ SEC ""B""",0,12,D-14182,,D-14182,165-165-2,Horizontal,No,RCP,48,696.200012,Y,N,N,N,,N,,0,No,,86.44202,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44208099,44208032,4420809944208032A,1,171.422884,OUTFALL PIPES BY SIZE \nPipe ID: 4420809944208032A,navigatela/reports/wastewater_pipes.cfm?PK=4420809944208032A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2010,True,1780983,,4420414144204179A,Major Outfall or Interceptor,1,44204141,44204179,A,,Valley,E15,600.83,599.71,262.41,0.0042,48,0,RCP,Circular,No,LAURELGROVE AVE R/W,4500,,NO,N,N,N,103,80.63,101,18.22,1959,0,Gravity,Yes,F,"V.O.R.S./ SEC ""B""",0,12,D-14182,,D-14182,1059-C,,No,RCP,48,511.899994,Y,N,N,N,,Y,1,0,No,,86.44202,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44204141,44204159,4420414144204159A,1,98.003256,OUTFALL PIPES BY SIZE \nPipe ID: 4420414144204179A,navigatela/reports/wastewater_pipes.cfm?PK=4420414144204179A,Major Outfall or Interceptor,Valley,No,Gravity,,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2011,True,1780985,,4420417944204159A,Major Outfall or Interceptor,1,44204179,44204159,A,,Valley,E15,599.71,598.68,248.08,0.0042,48,0,RCP,Circular,No,LAURELGROVE AV R/W,4500,,NO,N,N,N,101,18.22,98,70.14,1959,0,Gravity,Yes,F,"V.O.R.S./ SEC ""B""",0,12,D-14182,,D-14182,168-165-4,,No,RCP,48,511.899994,Y,N,N,N,,Y,1,0,No,,86.44202,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44204141,44204159,4420414144204159A,1,91.735813,OUTFALL PIPES BY SIZE \nPipe ID: 4420417944204159A,navigatela/reports/wastewater_pipes.cfm?PK=4420417944204159A,Major Outfall or Interceptor,Valley,No,Gravity,,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2012,True,1781061,,4281401842814002A,Major Outfall or Interceptor,1,42814018,42814002,A,,Valley,E15,635.96,634.78,8,0.0026,51,0,RCP,Circular,No,CHANDLER BLVD,13100,,NO,N,N,N,201,36.32,201,28.32,1960,0,Gravity,No,F,V.O.R.S.,0,10,D-13600,,D-13600,963-A,,No,CON,51,465,Y,N,N,N,,N,,0,No,,79.94613,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,42814018,42814002,4281401842814002A,1,2.9455,OUTFALL PIPES BY SIZE \nPipe ID: 4281401842814002A,navigatela/reports/wastewater_pipes.cfm?PK=4281401842814002A,Major Outfall or Interceptor,Valley,No,Gravity,,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2013,True,1781063,,4281400242814019A,Major Outfall or Interceptor,1,42814002,42814019,A,,Valley,E15,635.96,634.78,450.08,0.0026,51,0,RCP,Circular,No,CHANDLER BLVD,13100,,NO,N,N,N,201,27.43,196,77.35,1960,0,Gravity,No,F,"V.O.R.S./ SEC ""D""",0,10,D-13600,,D-13600,963-A,Horizontal,No,CON,51,465,Y,N,N,N,,N,,0,No,,79.94613,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,42814002,42814019,4281400242814019A,1,165.634091,OUTFALL PIPES BY SIZE \nPipe ID: 4281400242814019A,navigatela/reports/wastewater_pipes.cfm?PK=4281400242814019A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2014,True,1781143,,4430617844306146A,Major Outfall or Interceptor,1,44306178,44306146,A,,Valley,E01,569.3,568.52,785,0.001,66,0,RCP,Circular,No,ACAMA ST,11100,,NO,N,N,N,8,69,0,84,1959,0,Gravity,No,F,V.O.R.S./ UNIT I,0,09,D-14181,,D-14181,165-173-4,Horizontal,No,,0,801,Y,N,N,N,,N,,0,No,,98.60694,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,44306178,44306146,4430617844306146A,1,288.819549,OUTFALL PIPES BY SIZE \nPipe ID: 4430617844306146A,navigatela/reports/wastewater_pipes.cfm?PK=4430617844306146A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2015,True,1781145,,4430614644306172A,Major Outfall or Interceptor,1,44306146,44306172,A,,Valley,E01,568.51,567.33,34.2,0.001,66,0,RCP,Circular,No,ACAMA ST,11100,,NO,N,N,N,0,84,0,49.8,1959,0,Gravity,No,F,V.O.R.S.,0,09,D-14181,,D-14181,165-173-4,Horizontal,No,,0,801,Y,N,N,N,,N,,0,No,,98.60694,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,RZGARCIA,,44306146,44306172,4430614644306172A,1,8.245393,OUTFALL PIPES BY SIZE \nPipe ID: 4430614644306172A,navigatela/reports/wastewater_pipes.cfm?PK=4430614644306172A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2016,True,1781153,,4430611244306180A,Major Outfall or Interceptor,1,44306112,44306180,A,,Valley,E01,570.55,570.26,286.66,0.001,66,0,RCP,Circular,No,ACAMA ST,,,NO,,,,21,20.04,18,33.38,1959,0,Gravity,No,F,V.O.R.S.,0,09,D-14181,,D-14181,165-173-3,Horizontal,No,,0,0,,,,,,,,0,No,,0,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,RZGARCIA,,44306112,44306180,4430611244306180A,1,105.572621,OUTFALL PIPES BY SIZE \nPipe ID: 4430611244306180A,navigatela/reports/wastewater_pipes.cfm?PK=4430611244306180A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2017,True,1781151,,4430618044306136A,Major Outfall or Interceptor,1,44306180,44306136,A,,Valley,E01,570.26,570.07,195.07,0.001,66,0,RCP,Circular,No,ACAMA ST,,,NO,,,,18,33.38,16,38.31,1959,0,Gravity,No,F,"V.O.R.S./ SEC ""A""",0,09,D-14181,,D-14181,165-173-3,Horizontal,No,,0,0,,,,,,,,0,No,,0,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,RZGARCIA,,44306180,44306136,4430618044306136A,1,71.779264,OUTFALL PIPES BY SIZE \nPipe ID: 4430618044306136A,navigatela/reports/wastewater_pipes.cfm?PK=4430618044306136A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2018,True,1781158,,4430525244305262A,Major Outfall or Interceptor,1,44305252,44305262,A,,Valley,E01,586,585.76,162.93,0.002,57,0,RCP,Circular,No,TROOST AVE,,,NO,,,,56,72.18,55,9.25,1959,0,Gravity,No,F,"V.O.R.S./ SEC ""A""",0,09,D-14181,,D-14181,1062-A,Horizontal,No,,0,0,,,,,,,,0,No,,0,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,RZGARCIA,,44305252,44305262,4430525244305262A,1,60.017959,OUTFALL PIPES BY SIZE \nPipe ID: 4430525244305262A,navigatela/reports/wastewater_pipes.cfm?PK=4430525244305262A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2019,True,1781156,,4430526244305263A,Major Outfall or Interceptor,1,44305262,44305263,A,,Valley,E01,585.75,584.84,454.41,0.002,57,0,RCP,Circular,No,TROOST AVE,,,NO,,,,55,9.25,50,54.84,1959,0,Gravity,No,F,"V.O.R.S./ SEC ""A""",0,09,D-14181,,D-14181,1062-A,Horizontal,No,,0,0,,,,,,,,0,No,,0,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,RZGARCIA,,44305262,44305263,4430526244305263A,1,167.957314,OUTFALL PIPES BY SIZE \nPipe ID: 4430526244305263A,navigatela/reports/wastewater_pipes.cfm?PK=4430526244305263A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2020,True,1781157,,4430526344305097A,Major Outfall or Interceptor,1,44305263,44305097,A,,Valley,E01,584.84,584.44,234.2,0.002,57,0,RCP,Circular,No,TROOST AVE,,,NO,,,,50,54.2,48,20,1959,0,Gravity,No,F,"V.O.R.S./ SEC ""A""",0,09,D-14181,,D-14181,1062-A,Horizontal,No,,0,0,,,,,,,,0,No,,0,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,RZGARCIA,,44305263,44305097,4430526344305097A,1,86.302944,OUTFALL PIPES BY SIZE \nPipe ID: 4430526344305097A,navigatela/reports/wastewater_pipes.cfm?PK=4430526344305097A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2021,True,1781212,,4290115642902159A,Major Outfall or Interceptor,1,42901156,42902159,A,,Valley,W01,693.1,692.23,900,0.001,48,0,RCP,Circular,No,VICTORY BLVD,16300,,NO,N,N,N,9,0,0,0,1953,0,Gravity,No,F,VORS/WYE CAR UNREADABLE,0,04,D-9914,,D-9914,896-B,,No,CON,48,900,Y,Y,Y,Y,,N,,0,No,,42.17939,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,42901156,42902157,4290115642902157A,1,331.279915,OUTFALL PIPES BY SIZE \nPipe ID: 4290115642902159A,navigatela/reports/wastewater_pipes.cfm?PK=4290115642902159A,Major Outfall or Interceptor,Valley,No,Gravity,,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2022,True,1781211,,4290215942902157A,Major Outfall or Interceptor,1,42902159,42902157,A,,Valley,W01,692.23,692.18,47.58,0.001,51,0,RCP,Circular,No,VICTORY BLVD,16300,,NO,N,N,N,115,79.73,115,32.15,1953,0,Gravity,No,F,VORS/WYE CAR UNREADABLE,0,04,D-9844,,D-9844,NOWYEMAP,,No,CON,48,900,Y,Y,Y,Y,,N,,0,No,,42.17939,Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,42901156,42902157,4290115642902157A,1,17.516601,OUTFALL PIPES BY SIZE \nPipe ID: 4290215942902157A,navigatela/reports/wastewater_pipes.cfm?PK=4290215942902157A,Major Outfall or Interceptor,Valley,No,Gravity,,Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2023,True,1781262,,4310419343104017A,Major Outfall or Interceptor,1,43104193,43104017,A,,Valley,W18,728.59,727.43,742.89,0.0016,72,0,RCP,Circular,No,VICTORY BLVD,19000,,NO,N,N,N,362,25.7,354,82.81,1967,0,Gravity,No,F,A.V.O.R.S./ UNIT IV-B,0,04,D-20037,,D-20037,870-C,,No,,0,0,N,N,N,N,,N,,0,No,,157.30298,Additional Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,43104193,43104198,4310419343104198A,1,273.449536,OUTFALL PIPES BY SIZE \nPipe ID: 4310419343104017A,navigatela/reports/wastewater_pipes.cfm?PK=4310419343104017A,Major Outfall or Interceptor,Valley,No,Gravity,,Additional Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2024,True,1781261,,4310401743104198A,Major Outfall or Interceptor,1,43104017,43104198,A,,Valley,W18,727.43,727.24,142.81,0.0016,72,0,RCP,Circular,No,VICTORY BLVD,19000,,NO,N,N,N,354,82.81,353,40,1966,0,Gravity,No,F,A.V.O.R.S./ UNIT III-B,0,09,D-19674,,D-19674,869-D,Horizontal,No,,0,0,N,N,N,N,,N,,0,No,,157.30298,Additional Valley Outfall Relief Sewer,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,43104193,43104198,4310419343104198A,1,53.270764,OUTFALL PIPES BY SIZE \nPipe ID: 4310401743104198A,navigatela/reports/wastewater_pipes.cfm?PK=4310401743104198A,Major Outfall or Interceptor,Valley,No,Gravity,Horizontal,Additional Valley Outfall Relief Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2025,True,1782042,,6200915262009238A,Major Outfall or Interceptor,1,62009152,62009238,A,,Harbor,T01,6.2,5.98,57.04,0.004,33,0,VCP,Circular,No,PALOS VERDES ST,200,,NO,,,,0,0,0,-57.04,1976,0,Gravity,No,F,SAN PEDRO INTERCEPTOR SEWER,0,10,D-23596,,D-23596,018-201-SW,,Yes,,0,0,,,,,,,,0,No,,31.05924,SPAPS,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,62009152,62009217,6200915262009217A,1,20.980867,OUTFALL PIPES BY SIZE \nPipe ID: 6200915262009238A,navigatela/reports/wastewater_pipes.cfm?PK=6200915262009238A,Major Outfall or Interceptor,Harbor,No,Gravity,,San Pedro Area Primary Sewer,,,Vitrified Clay Pipe,Gravity,As Built
2026,True,1782043,,6200923862009217A,Major Outfall or Interceptor,1,62009238,62009217,A,,Harbor,T01,5.98,3.64,613.81,0.004,33,0,VCP,Circular,No,PALOS VERDES ST,200,,NO,,,,33,98.13,27,84.32,1974,0,Gravity,No,F,SAN PEDRO INTERCEPTOR SEWER,0,05,D-23585,,D-23585,018-201-SW,,Yes,,0,0,,,,,,,,0,No,,31.05924,SPAPS,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,62009152,62009217,6200915262009217A,1,225.639864,OUTFALL PIPES BY SIZE \nPipe ID: 6200923862009217A,navigatela/reports/wastewater_pipes.cfm?PK=6200923862009217A,Major Outfall or Interceptor,Harbor,No,Gravity,,San Pedro Area Primary Sewer,,,Vitrified Clay Pipe,Gravity,As Built
2027,True,1782133,,4951315449513016A,Major Outfall or Interceptor,1,49513154,49513016,A,,Central,P01,275.13,274.02,429.86,0.0026,54,0,CON,Burns & McDonald,No,GIBBONS ST,,,NO,,,,107,47.69,103,17.83,1926,0,Gravity,No,F,NORTH OUTFALL SEWER,0,00,DL-926,,P-4483,135A217-D,,Yes,,0,0,,,,,,,,0,No,,0,NCOSNOS,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,49513154,49513092,4951315449513092A,1,141.167728,OUTFALL PIPES BY SIZE \nPipe ID: 4951315449513016A,navigatela/reports/wastewater_pipes.cfm?PK=4951315449513016A,Major Outfall or Interceptor,Central,No,Gravity,,North Central Outfall Sewer / North Outfall Sewer,,,Concrete or Cement,Gravity,As Built
2028,True,1782134,,4951301649513092A,Major Outfall or Interceptor,1,49513016,49513092,A,,Central,P01,274.01,272.96,409.33,0.0026,54,0,CON,Burns & McDonald,No,GIBBONS ST,,,NO,,,,103,17.83,99,8.5,1926,0,Gravity,No,F,NORTH OUTFALL SEWER,0,00,DL-926,,P-4483,135A217-D,,Yes,,0,0,,,,,,,,0,No,,0,NCOSNOS,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,49513154,49513092,4951315449513092A,1,151.653387,OUTFALL PIPES BY SIZE \nPipe ID: 4951301649513092A,navigatela/reports/wastewater_pipes.cfm?PK=4951301649513092A,Major Outfall or Interceptor,Central,No,Gravity,,North Central Outfall Sewer / North Outfall Sewer,,,Concrete or Cement,Gravity,As Built
2029,True,1782241,,5150234251501239A,Major Outfall or Interceptor,1,51502342,51501239,A,,Central,P03,191.18,187.67,1770.24,0.002,96,0,RCP,Circular,No,MISSION RD,,,NO,,,,93,98.1,76,27.86,2008,0,Gravity,Yes,F,N.E.I.S. (IN TUNNEL),0,02,D-32036,,D-32036,132A221-C,Horizontal,No,,0,0,,,,,,,,0,No,,0,HPES,,,1899-12-30T00:00:00.000Z,2013-01-11T00:00:00.000Z,PLNGUYEN,,51502342,51501239,5150234251501239A,1,651.15767,OUTFALL PIPES BY SIZE \nPipe ID: 5150234251501239A,navigatela/reports/wastewater_pipes.cfm?PK=5150234251501239A,Major Outfall or Interceptor,Central,No,Gravity,Horizontal,Highland Park / Eagle Rock Sewer,,,Reinforced Concrete Pipe,Gravity,As Built
2030,True,1782281,,4950910949509108A,Major Outfall or Interceptor,1,49509109,49509108,A,,Central,P01,271.58,271.44,80.43,0.003,60,0,RCP,Circular,No,HUMBOLDT ST,,,NO,,,,1,43.66,0,63.23,2008,0,Gravity,No,F,,0,02,D-32036,,D-32036,4928-6,,No,,0,0,,,,,,,,,No,,0,,,,2010-02-24T00:00:00.000Z,2015-08-11T00:00:00.000Z,PLNGUYEN,,49509109,49509108,4950910949509108A,1,29.674995,OUTFALL PIPES BY SIZE \nPipe ID: 4950910949509108A,navigatela/reports/wastewater_pipes.cfm?PK=4950910949509108A,Major Outfall or Interceptor,Central,No,Gravity,,,,,Reinforced Concrete Pipe,Gravity,As Built
2031,True,1782312,,4950514449509115A,Major Outfall or Interceptor,1,49505144,49509115,A,,Central,P01,212.11,207.29,2407.47,0.002,96,0,RCP,Circular,No,SAN FERNANDO RD,,,NO,,,,198,48.84,174,41.37,2008,0,Gravity,No,F,NEIS (IN TUNNEL)/NEW STATIONING,0,02,D-32036,,D-32036,4928-6,Horizontal,No,,0,0,,,,,,,,,No,,0,,,,2010-02-24T00:00:00.000Z,2015-03-04T00:00:00.000Z,PLNGUYEN,,49505144,49509243,4950514449509243A,1,888.65635,OUTFALL PIPES BY SIZE \nPipe ID: 4950514449509115A,navigatela/reports/wastewater_pipes.cfm?PK=4950514449509115A,Major Outfall or Interceptor,Central,No,Gravity,Horizontal,,,,Reinforced Concrete Pipe,Gravity,As Built
2032,True,1782311,,4950911549509243A,Major Outfall or Interceptor,1,49509115,49509243,A,,Central,P01,207.29,206.62,325.27,0.002,96,0,RCP,Circular,No,SAN FERNANDO RD,,,NO,,,,332,94.3,329,69.03,2008,0,Gravity,No,F,NEIS (IN TUNNEL)/NEW STATIONING,0,02,D-32036,,D-32036,4928-6,Horizontal,No,,0,0,,,,,,,,,No,,0,,,,2010-02-24T00:00:00.000Z,2015-08-11T00:00:00.000Z,PLNGUYEN,,49505144,49509243,4950514449509243A,1,120.152486,OUTFALL PIPES BY SIZE \nPipe ID: 4950911549509243A,navigatela/reports/wastewater_pipes.cfm?PK=4950911549509243A,Major Outfall or Interceptor,Central,No,Gravity,Horizontal,,,,Reinforced Concrete Pipe,Gravity,As Built
