dates,times,flow
6/4/14,12:55:33,6.4768
6/4/14,12:55:44,0
6/4/14,12:56:17,13.547
6/4/14,12:56:18,7.8777
6/4/14,12:56:19,0
6/4/14,12:56:24,10.3498
6/4/14,12:56:27,0
6/4/14,12:56:28,5.6198
6/4/14,12:56:31,0
6/4/14,12:56:34,6.6416
6/4/14,12:56:42,0
6/4/14,12:59:09,5.7517
6/4/14,12:59:13,0
6/4/14,13:00:45,5.2243
6/4/14,13:00:46,0
6/4/14,13:14:25,8.059
6/4/14,13:14:38,0
6/4/14,13:15:23,9.1137
6/4/14,13:15:27,3.4774
6/4/14,13:16:14,8.9324
6/4/14,13:16:16,0
6/4/14,13:16:17,9.3609
6/4/14,13:16:22,1.2031
6/4/14,13:16:33,6.4768
6/4/14,13:16:34,0
6/4/14,13:16:54,6.2131
6/4/14,13:16:57,0
6/4/14,13:16:59,13.547
6/4/14,13:17:01,5.9989
6/4/14,13:17:03,29.9451
6/4/14,13:17:04,12.7394
6/4/14,13:17:05,1.4832
6/4/14,13:17:07,7.8942
6/4/14,13:17:09,16.1838
6/4/14,13:17:11,10.7782
6/4/14,13:17:12,31.1152
6/4/14,13:17:13,20.716
6/4/14,13:17:14,35.7132
6/4/14,13:17:15,29.121
6/4/14,13:17:16,23.6166
6/4/14,13:17:18,60.9614
6/4/14,13:17:19,16.019
6/4/14,13:17:20,2.9335
6/4/14,13:17:21,16.7607
6/4/14,13:17:22,5.2078
6/4/14,13:17:23,13.7942
6/4/14,13:17:24,21.8861
6/4/14,13:17:25,13.8436
6/4/14,13:17:26,23.0892
6/4/14,13:17:27,12.8877
6/4/14,13:17:29,4.0377
6/4/14,13:17:30,9.8389
6/4/14,13:17:31,68.872
6/4/14,13:17:33,133.2778
6/4/14,13:17:34,151.0602
6/4/14,13:17:36,28.9727
6/4/14,13:17:37,16.942
6/4/14,13:17:38,6.9877
6/4/14,13:17:42,1.648
6/4/14,13:17:50,14.0908
6/4/14,13:17:51,27.6213
6/4/14,13:17:52,14.8984
6/4/14,13:17:54,3.4774
6/4/14,13:17:55,11.8824
6/4/14,13:18:00,19.859
6/4/14,13:18:01,0
6/4/14,13:18:14,12.1132
6/4/14,13:18:16,5.521
6/4/14,13:18:17,0
6/4/14,13:18:45,6.4604
6/4/14,13:18:50,0
6/4/14,13:18:54,15.9531
6/4/14,13:18:55,55.2097
6/4/14,13:18:56,30.9669
6/4/14,13:18:57,20.1556
6/4/14,13:18:59,7.614
6/4/14,13:19:02,1.1207
6/4/14,13:19:03,12.3769
6/4/14,13:19:04,21.4576
6/4/14,13:19:05,1.3349
6/4/14,13:19:07,7.8447
6/4/14,13:19:08,0
6/4/14,13:19:15,8.1084
6/4/14,13:19:18,0
6/4/14,13:20:25,7.8118
6/4/14,13:20:28,1.714
6/4/14,13:20:30,7.3997
6/4/14,13:20:32,0
6/4/14,13:20:34,31.0328
6/4/14,13:20:36,11.3221
6/4/14,13:20:38,2.4062
6/4/14,13:20:42,25.1163
6/4/14,13:20:43,8.4545
6/4/14,13:20:46,2.093
6/4/14,13:20:58,8.1578
6/4/14,13:20:59,0
6/4/14,13:21:01,5.3397
6/4/14,13:21:05,0
6/4/14,13:21:09,12.4098
6/4/14,13:21:11,6.345
6/4/14,13:21:17,17.6671
6/4/14,13:21:18,0
6/4/14,13:21:20,6.0813
6/4/14,13:21:22,15.2115
6/4/14,13:21:24,2.9335
6/4/14,13:21:25,11.1903
6/4/14,13:21:27,4.2849
6/4/14,13:29:51,9.4598
6/4/14,13:29:54,2.4226
6/4/14,13:35:26,11.5034
6/4/14,13:35:29,0
6/4/14,13:41:03,6.8064
6/4/14,13:41:04,1.1372
6/4/14,13:42:15,7.1855
6/4/14,13:42:17,0
6/4/14,13:45:47,10.5146
6/4/14,13:45:48,1.5821
6/4/14,13:46:25,10.7618
6/4/14,13:46:27,0
6/4/14,13:46:30,6.7076
6/4/14,13:46:32,0
6/4/14,13:46:36,5.5869
6/4/14,13:46:40,0
6/4/14,13:46:46,7.2844
6/4/14,13:46:48,0
6/4/14,13:48:17,5.9
6/4/14,13:48:18,0
6/4/14,13:49:18,11.2067
6/4/14,13:49:19,1.8293
6/4/14,13:49:38,9.0313
6/4/14,13:49:39,36.2077
6/4/14,13:49:40,14.4699
6/4/14,13:49:43,5.9824
6/4/14,13:49:47,0
6/4/14,13:49:48,6.9383
6/4/14,13:49:49,0
6/4/14,13:49:50,9.0478
6/4/14,13:49:52,1.2525
6/4/14,13:49:55,9.2126
6/4/14,13:49:56,24.8691
6/4/14,13:49:57,11.1408
6/4/14,13:50:00,44.8599
6/4/14,13:50:01,22.8749
6/4/14,13:50:02,9.5092
6/4/14,13:50:05,0
6/4/14,13:50:07,9.4928
6/4/14,13:50:10,15.3763
6/4/14,13:50:11,24.7043
6/4/14,13:50:14,10.8442
6/4/14,13:50:17,34.4772
6/4/14,13:50:18,4.4333
6/4/14,13:50:21,21.0456
6/4/14,13:50:24,3.9059
6/4/14,13:50:26,27.1599
6/4/14,13:50:27,10.0366
6/4/14,13:50:28,16.8596
6/4/14,13:50:29,111.573
6/4/14,13:50:30,68.3776
6/4/14,13:50:31,20.4358
6/4/14,13:50:32,108.6065
6/4/14,13:50:33,50.9742
6/4/14,13:50:34,13.8107
6/4/14,13:50:35,2.3732
6/4/14,13:50:46,15.8378
6/4/14,13:50:48,5.7352
6/4/14,13:50:50,37.4767
6/4/14,13:50:51,19.1339
6/4/14,13:50:52,31.9722
6/4/14,13:50:53,86.6709
6/4/14,13:50:54,31.8074
6/4/14,13:50:55,17.1727
6/4/14,13:50:56,8.8665
6/4/14,13:50:57,30.3736
6/4/14,13:50:58,7.7294
6/4/14,13:51:00,0
6/4/14,14:28:21,5.1419
6/4/14,14:28:23,11.2891
6/4/14,14:28:24,5.0101
6/4/14,14:28:25,10.4816
6/4/14,14:28:26,2.6204
6/4/14,14:28:34,8.7511
6/4/14,14:28:36,2.4721
6/4/14,14:30:12,10.5146
6/4/14,14:30:15,3.4939
6/4/14,14:30:22,13.0361
6/4/14,14:30:25,2.917
6/4/14,14:30:27,7.9601
6/4/14,14:30:30,1.714
6/4/14,14:30:34,6.7735
6/4/14,14:30:36,13.6623
6/4/14,14:30:37,19.5294
6/4/14,14:30:38,0
6/4/14,14:30:42,8.6193
6/4/14,14:30:44,0
6/4/14,14:30:50,19.002
6/4/14,14:30:51,4.0872
6/4/14,14:30:53,10.152
6/4/14,14:30:59,3.8729
6/4/14,14:31:20,10.6464
6/4/14,14:31:26,4.664
6/4/14,14:33:51,11.5693
6/4/14,14:33:53,6.2626
6/4/14,14:34:04,0
6/4/14,14:34:18,12.4263
6/4/14,14:34:24,3.395
6/4/14,14:34:27,12.3933
6/4/14,14:34:29,37.625
6/4/14,14:34:32,55.803
6/4/14,14:34:33,11.3551
6/4/14,14:34:36,1.0548
6/4/14,14:34:37,10.7782
6/4/14,14:34:41,0
6/4/14,14:34:48,6.0154
6/4/14,14:34:51,19.1339
6/4/14,14:34:53,3.4444
6/4/14,14:34:56,9.8389
6/4/14,14:34:57,3.84
6/4/14,14:34:59,9.9377
6/4/14,14:35:01,2.571
6/4/14,14:35:02,19.3316
6/4/14,14:35:03,24.9185
6/4/14,14:35:04,17.8319
6/4/14,14:35:06,10.6629
6/4/14,14:35:07,30.6208
6/4/14,14:35:08,51.2543
6/4/14,14:35:10,41.4814
6/4/14,14:35:11,32.7467
6/4/14,14:35:12,27.3906
6/4/14,14:35:13,20.6665
6/4/14,14:35:14,14.371
6/4/14,14:35:16,8.9654
6/4/14,14:35:21,0
6/4/14,14:36:02,5.109
6/4/14,14:36:07,0
6/4/14,14:36:15,6.4604
6/4/14,14:36:25,0
6/4/14,14:36:29,8.1249
6/4/14,14:36:33,0
6/4/14,14:36:35,5.7352
6/4/14,14:36:41,0
6/4/14,14:36:47,6.5922
6/4/14,14:36:57,0
6/4/14,14:37:00,5.0925
6/4/14,14:37:06,0
6/4/14,14:37:31,6.2626
6/4/14,14:37:38,0
6/4/14,14:37:48,5.3562
6/4/14,14:37:52,0
6/4/14,14:38:00,5.8176
6/4/14,14:38:02,0
6/4/14,14:38:03,5.9495
6/4/14,14:38:04,0
6/4/14,14:38:19,5.5539
6/4/14,14:38:21,0
6/4/14,14:38:38,6.1802
6/4/14,14:38:44,0
6/4/14,14:38:49,5.9824
6/4/14,14:38:53,0
6/4/14,14:38:54,5.7847
6/4/14,14:38:56,0
6/4/14,14:39:02,7.4162
6/4/14,14:39:08,0
6/4/14,14:39:15,5.0266
6/4/14,14:39:18,0
6/4/14,14:39:20,8.9324
6/4/14,14:39:26,0
6/4/14,14:39:39,5.7847
6/4/14,14:39:45,10.9431
6/4/14,14:39:49,3.1148
6/4/14,14:40:50,8.9489
6/4/14,14:40:52,0
6/4/14,14:41:01,5.6198
6/4/14,14:41:06,0
6/4/14,14:41:15,5.8011
6/4/14,14:41:16,0
6/4/14,14:41:23,6.0813
6/4/14,14:41:30,0
6/4/14,14:41:32,9.295
6/4/14,14:41:37,16.3651
6/4/14,14:41:38,3.6257
6/4/14,14:43:31,16.2168
6/4/14,14:43:32,88.5003
6/4/14,14:43:35,257.0463
6/4/14,14:43:36,270
6/4/14,15:19:31,259.2382
6/4/14,15:19:32,206.4018
6/4/14,15:19:33,174.9075
6/4/14,15:19:34,145.1108
6/4/14,15:19:35,126.8009
6/4/14,15:19:36,97.7953
6/4/14,15:19:37,66.2846
6/4/14,15:19:38,39.718
6/4/14,15:19:39,24.9185
6/4/14,15:19:40,16.876
6/4/14,15:19:41,9.4598
6/4/14,15:19:42,0
6/4/14,15:20:58,20.2381
